N,TL,TR,current_trail,thread_1,thread_2,thread_3,thread_4,thread_5,thread_6,thread_7,thread_8,Mean,std_div
Rate Function: sqrt(x*y/(x+y)),,,,,,,,,,,,,,
Test_1: Mean energy flux for changing length of the chain. Let N change from 2 to 100.,,,,,,,,,,,,,,
15,1,2,3,2417.23,2051.95,2507.13,2203.39,3547.3,2329.97,2506.96,2528.87,0.12558,
15,1,2,4,2417.23,2051.95,2507.13,2203.39,3547.3,2329.97,2506.96,2528.87,0.12558,
15,1,2,5,2417.23,2051.95,2507.13,2203.39,3547.3,2329.97,2506.96,2528.87,0.12558,
15,1,2,6,2417.23,2051.95,2507.13,2203.39,3547.3,2329.97,2506.96,2528.87,0.12558,
15,1,2,7,2417.23,2051.95,2507.13,2203.39,3547.3,2329.97,2506.96,2528.87,0.12558,
15,1,2,8,2417.23,2051.95,2507.13,2203.39,3547.3,2329.97,2506.96,2528.87,0.12558,
15,1,2,9,2417.23,2051.95,2507.13,2203.39,3547.3,2329.97,2506.96,2528.87,0.12558,
15,1,2,10,2417.23,2051.95,2507.13,2203.39,3547.3,2329.97,2506.96,2528.87,0.12558,
,,,,,,,,,,,,,=STDEV.S(M197:M206),
,,,,,,,,,,,,,,
15,1,2.5,1,3049.61,3082.77,3965.85,4066.29,3397.98,4290.8,4116.22,3453.98,0.183897,
15,1,2.5,2,4237.85,4422.99,4413.5,3100.3,4649.27,3371.52,4596.79,3411.51,0.201273,
15,1,2.5,3,4237.85,4422.99,4413.5,3100.3,4649.27,3371.52,4596.79,3411.51,0.201273,
15,1,2.5,4,4237.85,4422.99,4413.5,3100.3,4649.27,3371.52,4596.79,3411.51,0.201273,
15,1,2.5,5,4237.85,4422.99,4413.5,3100.3,4649.27,3371.52,4596.79,3411.51,0.201273,
15,1,2.5,6,4237.85,4422.99,4413.5,3100.3,4649.27,3371.52,4596.79,3411.51,0.201273,
15,1,2.5,7,4237.85,4422.99,4413.5,3100.3,4649.27,3371.52,4596.79,3411.51,0.201273,
15,1,2.5,8,4237.85,4422.99,4413.5,3100.3,4649.27,3371.52,4596.79,3411.51,0.201273,
15,1,2.5,9,4237.85,4422.99,4413.5,3100.3,4649.27,3371.52,4596.79,3411.51,0.201273,
15,1,2.5,10,4237.85,4422.99,4413.5,3100.3,4649.27,3371.52,4596.79,3411.51,0.201273,
,,,,,,,,,,,,,=STDEV.S(M209:M218),
,,,,,,,,,,,,,,
15,1,3,1,4136.75,5056.61,5429.27,4267.55,5953.25,6096.74,5832.79,6346.87,0.269499,
15,1,3,2,4136.75,5056.61,5429.27,4267.55,5953.25,6096.74,5832.79,6346.87,0.269499,
15,1,3,3,4136.75,5056.61,5429.27,4267.55,5953.25,6096.74,5832.79,6346.87,0.269499,
15,1,3,4,4136.75,5056.61,5429.27,4267.55,5953.25,6096.74,5832.79,6346.87,0.269499,
15,1,3,5,4136.75,5056.61,5429.27,4267.55,5953.25,6096.74,5832.79,6346.87,0.269499,
15,1,3,6,4136.75,5056.61,5429.27,4267.55,5953.25,6096.74,5832.79,6346.87,0.269499,
15,1,3,7,4136.75,5056.61,5429.27,4267.55,5953.25,6096.74,5832.79,6346.87,0.269499,
15,1,3,8,4136.75,5056.61,5429.27,4267.55,5953.25,6096.74,5832.79,6346.87,0.269499,
15,1,3,9,5459.41,4631.6,5694.59,5841.88,8238.89,5832.72,4708.62,5748.31,0.288475,
15,1,3,10,5459.41,4631.6,5694.59,5841.88,8238.89,5832.72,4708.62,5748.31,0.288475,
,,,,,,,,,,,,,=STDEV.S(M221:M230),
,,,,,,,,,,,,,,
Test_3: Mean energy flux for changing temperatures. Change TL from 1 to 100 and let TR be 1.10 times TL.,,,,,,,,,,,,,,
15,1,1.1,1,530.12,728.45,183.064,617.502,296.101,267.503,82.8097,414.739,0.0195018,
15,1,1.1,2,530.12,728.45,183.064,617.502,296.101,267.503,82.8097,414.739,0.0195018,
15,1,1.1,3,530.12,728.45,183.064,617.502,296.101,267.503,82.8097,414.739,0.0195018,
15,1,1.1,4,530.12,728.45,183.064,617.502,296.101,267.503,82.8097,414.739,0.0195018,
15,1,1.1,5,530.12,728.45,183.064,617.502,296.101,267.503,82.8097,414.739,0.0195018,
15,1,1.1,6,530.12,728.45,183.064,617.502,296.101,267.503,82.8097,414.739,0.0195018,
